RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
1032239,2014107311,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,4/8/14,4/8/14,4/8/14,130XX BLOCK OF 25 AV NE,L,L1,200.2001,-122.3018875,47.72384644,"(47.723846436, -122.301887512)"
1032245,2014275697,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,8/19/14,8/15/14,8/16/14,11XX BLOCK OF NE 45 ST,U,U2,5301.2007,-122.3160095,47.66128922,"(47.661289215, -122.316009521)"
1032246,2014282069,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,8/24/14,8/22/14,8/24/14,17XX BLOCK OF NW 61 ST,B,B1,3300.3013,-122.3805466,47.6730957,"(47.673095703, -122.38054657)"
1032247,2014275763,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,8/19/14,8/18/14,8/19/14,43XX BLOCK OF W SEMPLE ST,Q,Q1,5700.1006,-122.4128037,47.67112732,"(47.671127319, -122.41280365)"
1032249,2014275040,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,8/18/14,8/18/14,,49XX BLOCK OF 48 AV S,R,R3,10200.4005,-122.2731857,47.55764389,"(47.55764389, -122.27318573)"
1032250,2014278444,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,8/21/14,7/31/14,8/21/14,4XX BLOCK OF YALE AV N,D,D3,7300.1013,-122.3304291,47.62254715,"(47.62254715, -122.330429077)"
1032252,2014279267,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,8/22/14,8/21/14,8/22/14,40XX BLOCK OF 55 AV SW,W,W2,9701.4029,-122.4028625,47.5676651,"(47.5676651, -122.402862549)"
1032257,2014274817,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,8/18/14,8/18/14,,63XX BLOCK OF 23 AV NE,U,U1,4301.3002,-122.302742,47.67528153,"(47.675281525, -122.302742004)"
1032258,2014274730,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,8/18/14,8/18/14,,8XX BLOCK OF NW 118 ST,N,N1,500.3017,-122.3671722,47.71479416,"(47.714794159, -122.367172241)"
1032261,2014278023,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,8/21/14,8/19/14,8/21/14,68XX BLOCK OF 30 AV S,S,S1,11002.2037,-122.2933121,47.54101944,"(47.54101944, -122.293312073)"
1032264,2014276114,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,8/19/14,8/19/14,8/19/14,19XX BLOCK OF 11 AV S,R,R1,9300.1025,-122.3182983,47.58615494,"(47.586154938, -122.31829834)"
1032266,2015177486,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,5/29/15,5/25/15,,13XX BLOCK OF ALASKAN WY,M,M1,8100.3014,-122.3408737,47.60640717,"(47.606407166, -122.340873718)"
1032280,2015421238,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,12/4/15,12/4/15,12/4/15,11XX BLOCK OF N 97 ST,N,N3,1300.3014,-122.3439789,47.69961548,"(47.699615479, -122.343978882)"
1032281,201681183,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,3/7/16,3/4/16,3/4/16,3XX BLOCK OF NW 85 ST,J,J1,1701.1017,-122.3619843,47.69063187,"(47.690631866, -122.361984253)"
1032285,2016157773,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,5/6/16,5/6/16,5/6/16,114XX BLOCK OF 9 AV NW,N,N1,500.3016,-122.3674469,47.71177673,"(47.711776733, -122.367446899)"
1032290,2016146334,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,4/27/16,4/27/16,,48XX BLOCK OF AIRPORT WY S,O,O2,9300.3161,-122.3231735,47.55892181,"(47.558921814, -122.323173523)"
1032295,2016238325,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,7/4/16,7/3/16,7/4/16,8XX BLOCK OF E GWINN PL,C,C1,6100.1013,-122.3199921,47.64782333,"(47.647823334, -122.319992065)"
1032304,2016249820,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,7/12/16,7/12/16,,16XX BLOCK OF BELLEVUE AV,E,E1,8400.3006,-122.3267975,47.61577988,"(47.615779877, -122.326797485)"
1032306,2016202573,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,6/7/16,6/7/16,,132XX BLOCK OF 8 AV NW,N,N1,500.1003,-122.3663406,47.72603989,"(47.726039886, -122.366340637)"
1032313,2016200415,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,6/6/16,6/6/16,,3XX BLOCK OF NW 113 PL,N,N1,500.3015,-122.3619766,47.71156311,"(47.71156311, -122.361976624)"
1032326,2016323047,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,9/6/16,9/6/16,,67XX BLOCK OF ROOSEVELT WY NE,U,U1,2600.301,-122.3173904,47.67764664,"(47.677646637, -122.317390442)"
1032331,2016322786,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,9/6/16,9/2/16,9/6/16,7XX BLOCK OF W LEE ST,Q,Q2,6900.2021,-122.3670578,47.63111496,"(47.63111496, -122.3670578)"
1032332,2016322920,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,9/6/16,9/5/16,9/6/16,18XX BLOCK OF 12 AV,E,E2,7500.4001,-122.3169022,47.61818314,"(47.618183136, -122.316902161)"
1032333,2016322981,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,9/6/16,9/5/16,,47XX BLOCK OF UNIVERSITY WY NE,U,U2,5301.2001,-122.3130875,47.66399765,"(47.66399765, -122.313087463)"
1032334,2016323579,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,9/6/16,9/2/16,9/2/16,5XX BLOCK OF 5 AV W,Q,Q3,7100.1003,-122.3632431,47.62406921,"(47.624069214, -122.363243103)"
1032337,2016322416,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,9/5/16,9/5/16,,5XX BLOCK OF PINE ST,M,M2,8200.1003,-122.3359299,47.61190414,"(47.611904144, -122.335929871)"
1032338,2016320969,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,9/4/16,9/4/16,,90XX BLOCK OF 11 AV SW,F,F3,11300.3012,-122.3492661,47.52191162,"(47.521911621, -122.349266052)"
1032342,2016322792,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,9/6/16,9/6/16,9/6/16,143XX BLOCK OF LINDEN AV N,N,N1,401.1001,-122.3477936,47.73322296,"(47.733222961, -122.347793579)"
1032344,2016321830,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,9/5/16,9/5/16,,15XX BLOCK OF EASTLAKE AV E,D,D3,6600.1024,-122.3258286,47.63305664,"(47.633056641, -122.325828552)"
1032345,2016322248,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,9/5/16,8/31/16,9/5/16,21XX BLOCK OF N 120 ST,N,N2,600.4004,-122.3327866,47.7159195,"(47.715919495, -122.33278656)"
1032348,2016321707,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,9/5/16,8/31/16,9/4/16,25XX BLOCK OF RAINIER AV S,R,R2,10001.1,-122.2991562,47.57967377,"(47.579673767, -122.299156189)"
1032351,2016321760,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,9/5/16,9/5/16,,5XX BLOCK OF S CLOVERDALE ST,F,F3,11200.1022,-122.3268967,47.52647781,"(47.526477814, -122.326896667)"
1032352,2016323129,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,9/6/16,9/3/16,,44XX BLOCK OF STONE WY N,B,B3,5000.3017,-122.3422012,47.66031647,"(47.660316467, -122.342201233)"
1032353,2016317662,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,9/2/16,9/2/16,,11XX BLOCK OF 4 AV,K,K1,8100.2022,-122.3338852,47.60715866,"(47.607158661, -122.333885193)"
1032355,2016319600,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,9/3/16,9/3/16,,47XX BLOCK OF 54 AV S,R,R3,10200.1002,-122.2656784,47.56002426,"(47.560024261, -122.265678406)"
1032356,2016318538,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,9/2/16,9/1/16,9/2/16,11XX BLOCK OF 22 AV E,C,C2,6400.3008,-122.3035355,47.62962341,"(47.629623413, -122.303535461)"
